depth,move number,Prunings,Winner,Which Heur,Who First
5,6,893,--,old,MMB
5,7,1735,--,old,MMB
5,8,680,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,3188,--,old,MMB
5,3,8083,--,old,MMB
5,4,5544,--,old,MMB
5,5,2247,--,old,MMB
5,6,926,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,5599,--,old,MMB
5,3,8570,--,old,MMB
5,4,6163,--,old,MMB
5,5,2757,--,old,MMB
5,6,2362,--,old,MMB
5,7,1673,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,2855,--,old,MMB
5,3,8574,--,old,MMB
5,4,1633,--,old,MMB
5,5,2847,--,old,MMB
5,6,2014,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,4643,--,old,MMB
5,3,8389,--,old,MMB
5,4,1440,--,old,MMB
5,5,3449,--,old,MMB
5,6,2141,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,4697,--,old,MMB
5,3,8021,--,old,MMB
5,4,4347,--,old,MMB
5,5,3935,--,old,MMB
5,6,2639,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,3173,--,old,MMB
5,3,8296,--,old,MMB
5,4,2310,--,old,MMB
5,5,2742,--,old,MMB
5,6,3018,--,old,MMB
5,7,1230,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,3147,--,old,MMB
5,3,4374,--,old,MMB
5,4,4440,--,old,MMB
5,5,3229,--,old,MMB
5,6,2708,--,old,MMB
5,7,1657,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,3161,--,old,MMB
5,3,8691,--,old,MMB
5,4,3728,--,old,MMB
5,5,4055,--,old,MMB
5,6,1070,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,2855,--,old,MMB
5,3,8417,--,old,MMB
5,4,3686,--,old,MMB
5,5,4138,--,old,MMB
5,6,1297,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,4697,--,old,MMB
5,3,8643,--,old,MMB
5,4,5853,--,old,MMB
5,5,4076,--,old,MMB
5,6,530,--,old,MMB
5,7,620,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,3147,--,old,MMB
5,3,8589,--,old,MMB
5,4,4078,--,old,MMB
5,5,3901,--,old,MMB
5,6,2585,--,old,MMB
5,7,1608,--,old,MMB
5,8,666,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,2914,--,old,MMB
5,3,8482,--,old,MMB
5,4,6165,--,old,MMB
5,5,4245,--,old,MMB
5,6,32,--,old,MMB
5,7,238,--,old,MMB
5,8,20,--,old,MMB
5,9,0,--,old,MMB
5,0,0,,old,MMB
5,1,0,--,old,MMB
5,2,4697,--,old,MMB
5,3,8525,--,old,MMB
5,4,1808,--,old,MMB
5,5,4140,--,old,MMB
5,6,1088,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,3086,--,old,MMB
5,3,8384,--,old,MMB
5,4,1853,--,old,MMB
5,5,4045,--,old,MMB
5,6,2610,--,old,MMB
5,7,1662,--,old,MMB
5,8,361,--,old,MMB
5,9,547,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,4657,--,old,MMB
5,3,5609,--,old,MMB
5,4,6131,--,old,MMB
5,5,1032,--,old,MMB
5,6,1078,--,old,MMB
5,7,1405,--,old,MMB
5,8,141,--,old,MMB
5,9,0,--,old,MMB
5,10,0,--,old,MMB
5,11,0,--,old,MMB
5,12,0,--,old,MMB
5,0,0,,old,MMB
5,1,0,--,old,MMB
5,2,4657,--,old,MMB
5,3,5609,--,old,MMB
5,4,6150,--,old,MMB
5,5,1783,--,old,MMB
5,6,1645,--,old,MMB
5,7,1338,--,old,MMB
5,8,450,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
